,Unnamed: 0,Product_description,Key_ingredient,Food_group,m_sweet,m_sour,m_bitter,m_umami,m_salt,m_fat,fat_100g,carbs_100g,proteins_100g
80,80,Luncheon meat tinned,luncheon,"Meat, meat products and poultry",8,8,1,24,37,49,13.0,2.0,7.0
81,81,Beef smoke-dried,beef,"Meat, meat products and poultry",2,8,0,19,59,38,11.8,21.7,5.0
82,82,Salami sausage saveloy,salami,"Meat, meat products and poultry",3,14,1,20,47,58,12.2,24.5,9.9
83,83,Pate,pate,"Meat, meat products and poultry",15,6,2,26,46,66,12.0,13.0,9.0
84,84,Beef steak tartare spiced filet americ,tartare,"Meat, meat products and poultry",8,5,0,19,41,51,19.5,63.4,10.9
85,85,Sausage cooked,sausage,"Meat, meat products and poultry",3,5,0,23,37,47,14.0,8.9,6.1
86,86,Beef rump steak raw,steak,"Meat, meat products and poultry",5,7,1,18,17,24,7.0,22.0,2.5
87,87,Pork chop raw,pork,"Meat, meat products and poultry",4,10,1,18,16,25,6.8,23.0,5.9
88,88,Bacon rasher raw,bacon,"Meat, meat products and poultry",4,3,4,9,21,61,6.8,23.0,5.9
89,89,Hamburger raw,hamburger,"Meat, meat products and poultry",9,5,1,31,46,54,18.0,57.0,11.0
90,90,Chicken fillet raw,chicken,"Meat, meat products and poultry",6,7,1,13,18,29,33.0,1.9,14.0
91,91,Pork shoarma seasoning raw,shoarma,"Meat, meat products and poultry",11,3,0,32,50,59,9.9,10.0,5.1
92,92,Pork sparerib raw,sparerib,"Meat, meat products and poultry",15,2,0,29,38,53,15.0,6.0,16.0
